"
Ivan CouronneAgence France-PresseWashington",2018-08-21 11:25EST,Énergie et ressources
"
Caroline St-PierreLa Presse Canadienne",2018-08-21 11:39EST,Faits divers
"
Miguel BujoldLa PresseSuivre @MiguelBujold",2018-08-21 11:42EST,Football
"
La Presse CanadienneTORONTO",2018-08-21 11:44EST,Marchés
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-08-21 11:50EST,Mathias Brunet
"
Agence France-PresseWASHINGTON",2018-08-21 11:50EST,Europe
"
La Presse CanadienneSAINT-JEAn",2018-08-21 11:52EST,Énergie et ressources
"
Agence France-PresseTOKYO",2018-08-21 11:54EST,Nouvelles
"
La Presse CanadienneToronto",2018-08-21 12:00EST,Football
"
La Presse CanadienneOttawa",2018-08-21 12:03EST,Patinage artistique
"
Agence France-PresseLOS ANGELES",2018-08-21 12:06EST,États-Unis
"
Lia LévesqueLa Presse Canadienne",2018-08-21 12:16EST,Justice et faits divers
"
Howard FendrichAssociated Press",2018-08-21 12:26EST,Tennis
"
Jocelyne RicherLa Presse CanadienneQuébec",2018-08-21 12:31EST,Élections Québec 2018
"
Agence France-PresseLos Angeles",2018-08-21 12:44EST,États-Unis
"
Agence France-PressePARIS",2018-08-21 12:34EST,Marchés
"
La Presse Canadienne",2018-08-21 12:50EST,Immobilier
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-08-21 12:58EST,100 villes 100 voix
"
Janice Dickson, Mia RabsonLa Presse CanadienneOttawa",2018-08-21 12:57EST,Politique canadienne
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-08-21 13:02EST,100 villes 100 voix
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-08-21 13:06EST,100 villes 100 voix
"
Agence France-PresseALEXANDRIA",2018-08-21 13:04EST,États-Unis
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-08-21 13:11EST,100 villes 100 voix
"
Agence France-PresseNEW YORK",2018-08-21 13:04EST,Marchés
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-08-21 13:16EST,100 villes 100 voix
"
Associated PressNew York",2018-08-21 13:21EST,Tennis
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-08-21 13:35EST,Livres
"
Aleksandra SaganLa Presse Canadienne",2018-08-21 13:36EST,Entreprises
"
La Presse Canadienne",2018-08-21 13:42EST,Élections Québec 2018
"
La Presse Canadienne",2018-08-21 13:50EST,Pollution
"
Catherine TRIOMPHEAgence France-PresseNew York",2018-08-21 13:55EST,États-Unis
"
Richard DufourLa Presse",2018-08-21 14:09EST,Finances personnelles
"
Agence France-PresseLille",2018-08-21 14:15EST,Europe
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-08-21 14:10EST,Grand Montréal
"
Martin VallièresLa PresseSuivre @martinvalliere",2018-08-21 14:21EST,Finances personnelles
"
Frankie TAGGARTAgence France-PresseLOS ANGELES",2018-08-21 14:20EST,Cinéma
"
Agence France-Presse",2018-08-21 14:18EST,États-Unis
"
Martin VallièresLa PresseSuivre @martinvalliere",2018-08-21 14:54EST,Finances personnelles
"
Martin CroteauLa PresseSuivre @martincroteau",2018-08-21 15:02EST,Élections Québec 2018
"
Martin VallièresLa PresseSuivre @martinvalliere",2018-08-21 15:17EST,Finances personnelles
"
Jordan PressLa Presse CanadienneOTTAWA",2018-08-21 15:20EST,Politique canadienne
"
Tristan PéloquinLa PresseSuivre @TristanPeloquin",2018-08-21 15:28EST,Faits divers
"
Agence France-PresseNew York",2018-08-21 15:36EST,Musique
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-08-21 15:38EST,Grand Montréal
"
Associated PressWashington",2018-08-21 15:45EST,Baseball
"
La Presse Canadienne",2018-08-21 15:54EST,Élections Québec 2018
"
La Presse CanadienneTORONTO",2018-08-21 15:55EST,Festival de Toronto
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-08-21 16:15EST,Grand Montréal
"
Lia LévesqueLa Presse Canadienne",2018-08-21 16:21EST,Commerce de détail
"
Agence France-PresseSan Francisco",2018-08-21 16:25EST,Réseaux sociaux
"
Pierre Saint-ArnaudLa Presse Canadienne",2018-08-21 16:30EST,Élections Québec 2018
"
La Presse Canadienne",2018-08-21 16:34EST,Environnement
"
La Presse",2018-08-21 17:07EST,Têtes d'affiche
"
Pierre Saint-ArnaudLa Presse Canadienne",2018-08-21 17:21EST,Québec
"
Jan MARCHALAgence France-PressePrague",2018-08-21 17:37EST,Europe
"
Agence France-PresseLima",2018-08-21 18:01EST,Découvertes
"
Patrice BergeronLa Presse CanadienneQuébec",2018-08-21 18:21EST,Élections Québec 2018
"
Sébastien BLANCAgence France-PresseWashington",2018-08-21 18:30EST,États-Unis
"
Agence France-PresseCaracas",2018-08-21 18:36EST,Amérique latine
"
Dan HealingLa Presse Canadienne",2018-08-21 18:55EST,Canada
"
Joan BrydenLa Presse CanadienneNanaimo",2018-08-21 20:05EST,Politique canadienne
"
Glenn Chapman, Christophe VogtAgence France-PresseSan Francisco et Washington",2018-08-21 20:12EST,Réseaux sociaux
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-08-21 20:29EST,Grand Montréal
"
La Presse CanadienneNew York",2018-08-21 20:35EST,Tennis
"
Sidhartha BanerjeeLa Presse Canadienne",2018-08-21 20:41EST,Grand Montréal
"
Agence France-PresseLos Angeles",2018-08-21 21:29EST,Nouvelles
"
La Presse CanadienneToronto",2018-08-21 22:14EST,Baseball
"
Nicolas BérubéLa PresseSuivre @nberube",2018-08-21 22:18EST,Faits divers
"
La Presse CanadienneSaint-Hyacinthe",2018-08-21 23:31EST,Faits divers
"
Agence France-PresseLos Angeles",2018-08-21 23:42EST,États-Unis
"
",2018-08-22 05:00EST,SUITE
"
Sophie OuimetLa PresseSuivre @s_ouimet",2018-08-22 08:00EST,Carnet d'adresses
"
Karyne Duplessis PichéCollaboration spécialeLa Presse",2018-08-22 08:00EST,Vins à découvrir
"
Edouard Plante-FréchetteLa Presse",2018-08-22 08:00EST,États-Unis
"
Vanessa FontaineLa Presse",2018-08-22 08:00EST,Rentrée scolaire
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-08-22 00:00EST,Le clin d'oeil de Stéphane Laporte
"
Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-08-22 00:00EST,Grand Montréal
"
Bruno BissonLa Presse",2018-08-22 05:00EST,Grand Montréal
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-08-22 05:00EST,Actualités
"
Denis LessardLa PresseSuivre @denis_lessard",2018-08-22 05:00EST,Énergie et ressources
"
Paul JournetLa PresseSuivre @PaulJournet",2018-08-22 05:00EST,Paul Journet
"
Nathalie PetrowskiLa PresseSuivre @NPetrowski",2018-08-22 05:00EST,Nathalie Petrowski
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-08-22 06:21EST,Pollution
"
Paul HANDLEYAgence France-PresseWashington",2018-08-22 06:20EST,États-Unis
"
Sara ChampagneLa PresseSuivre @SaraJournaliste",2018-08-22 06:24EST,Actualités
"
Karim BenessaiehLa PresseSuivre @karimbai",2018-08-22 06:27EST,Élections Québec 2018
"
Agence France-PresseJérusalem",2018-08-22 06:31EST,Moyen-Orient
"
La Presse Canadienne",2018-08-22 06:33EST,Politique québécoise
"
Marie-Eve FournierLa PresseSuivre @mevefournier",2018-08-22 06:38EST,Commerce de détail
"
La Presse CanadienneToronto",2018-08-22 06:44EST,Entreprises
"
Agence France-PresseParis",2018-08-22 06:56EST,Énergie et ressources
"
Jennifer Sinco KelleherAssociated PressHonolulu",2018-08-22 07:07EST,États-Unis
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-08-22 07:20EST,Commerce de détail
"
André DuchesneLa Presse",2018-08-22 07:30EST,Cinéma québécois
"
Catherine MARCIANOAgence France-PresseCité du Vatican",2018-08-22 07:59EST,Europe
"
Isabelle DubéLa Presse",2018-08-22 08:06EST,Transports
"
La Presse",2018-08-22 08:32EST,Médias et télécoms
"
Marc-André LussierLa PresseSuivre @malussier",2018-08-22 08:38EST,Cinéma
"
Agence France-PresseJérusalem",2018-08-22 08:21EST,Guerre civile en Syrie
"
Kelly Geraldine MaloneLa Presse Canadienne",2018-08-22 08:53EST,Agroalimentaire
"
La Presse CanadienneOttawa",2018-08-22 09:04EST,Canada
"
Jean SiagLa PresseSuivre @jeansiag",2018-08-22 09:17EST,Cirque
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-08-22 09:26EST,Livres
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-08-22 09:33EST,Livres
"
Richard LabbéLa PresseSuivre @Richardlabbe",2018-08-22 09:33EST,Hockey
"
Evelyne AudetLa PresseSuivre @evelyneaudet",2018-08-22 09:36EST,Aubaines
"
Agence France-PresseJérusalem",2018-08-22 09:31EST,Moyen-Orient
"
La Presse",2018-08-22 09:41EST,Hockey
"
Agence France-PresseNew York",2018-08-22 09:42EST,Marchés
"
Agence France-PresseWASHINGTON",2018-08-22 09:44EST,États-Unis
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-08-22 09:52EST,Actualités
"
Agence France-PresseParis",2018-08-22 09:57EST,Tennis
"
Sophie AllardLa Presse",2018-08-22 10:02EST,Ski de fond
"
Mylène CrêteLa Presse CanadienneOttawa",2018-08-22 10:01EST,Politique canadienne
"
Agence France-PresseLA HAYE",2018-08-22 10:03EST,Europe
"
Agence France-PresseSOTCHI",2018-08-22 10:12EST,Europe
"
Lia LévesqueLa Presse Canadienne",2018-08-22 10:21EST,Élections Québec 2018
"
NORMAND LATOURCollaboration spécialeLa Presse",2018-08-22 10:33EST,Société
"
Lia LévesqueLa Presse Canadienne",2018-08-22 10:36EST,Justice et faits divers
"
Agence France-PresseMOSCOU",2018-08-22 10:57EST,Guerre civile en Syrie
"
Lia LévesqueLa Presse Canadienne",2018-08-22 11:05EST,Commerce de détail
"
Nicolas PRATVIELAgence France-PressePARIS",2018-08-22 11:06EST,Entrevues
"
Amin GuidaraLa Presse",2018-08-22 11:16EST,Faits divers
"
La Presse CanadienneMONTRÉAL",2018-08-22 11:15EST,Télévision
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-08-22 11:22EST,Entrevues
"
La Presse CanadienneKITCHENER, Ontario",2018-08-22 11:27EST,Faits divers
"
La Presse",2018-08-22 11:24EST,Musique
"
La Presse CanadienneHumboldt, Sask.",2018-08-22 11:31EST,Hockey junior
"
Agence France-PresseMADRID",2018-08-22 11:34EST,Afrique
"
Catherine TRIOMPHEAgence France-PresseNEW YORK",2018-08-22 11:33EST,Nouvelles
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-08-22 11:50EST,Mathias Brunet
"
Marc-André LussierLa PresseSuivre @malussier",2018-08-22 11:55EST,Festival Cinemania
"
Agence France-PresseLA VALETTE",2018-08-22 11:53EST,Europe
"
Caroline PlanteLa Presse CanadienneQuébec",2018-08-22 11:57EST,Élections Québec 2018
"
Denis LessardLa PresseSuivre @denis_lessard",2018-08-22 12:05EST,Élections Québec 2018
"
Jocelyne RicherLa Presse CanadienneQUÉBEC",2018-08-22 12:10EST,Énergie et ressources
"
Agence France-Presse",2018-08-22 12:04EST,Astronomie et espace
"
La Presse CanadienneTerrebonne",2018-08-22 12:22EST,Élections Québec 2018
"
La Presse Canadienne",2018-08-22 12:28EST,Tennis
"
Agence France-PresseRAMALLAH",2018-08-22 12:37EST,Moyen-Orient
"
Agence France-PresseOTTAWA",2018-08-22 12:56EST,Moyen-Orient
"
La Presse Canadienne",2018-08-22 13:01EST,Santé
"
Agence France-Presse",2018-08-22 13:03EST,Découvertes
"
Pierre-Marc DurivageLa Presse",2018-08-22 13:11EST,Cuisine
"
La Presse CanadienneOttawa",2018-08-22 13:10EST,Politique canadienne
"
Virginie MontetAgence France-PresseWashington",2018-08-22 13:11EST,International
"
Pierre-Marc DurivageLa Presse",2018-08-22 13:22EST,Recettes
"
La Presse CanadienneOttawa",2018-08-22 13:25EST,Transports
"
Pierre-Marc DurivageLa Presse",2018-08-22 13:29EST,Recettes
"
Pierre-Marc DurivageLa Presse",2018-08-22 13:32EST,Recettes
"
La Presse Canadienne",2018-08-22 13:32EST,Élections Québec 2018
"
Agence France-PresseSydney",2018-08-22 13:40EST,Mode
"
Agence France-PresseLa Havane",2018-08-22 13:40EST,Amérique latine
"
Agence France-PresseBerlin",2018-08-22 13:50EST,Europe
"
Stéphanie MarinLa Presse Canadienne",2018-08-22 13:52EST,Politique canadienne
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-08-22 14:04EST,Grand Montréal
"
Associated PressBruxelles",2018-08-22 14:07EST,Europe
"
La Presse Canadienne",2018-08-22 14:09EST,Énergie et ressources
"
Agence France-PresseWashington",2018-08-22 14:13EST,États-Unis
"
Agence France-PresseWASHINGTON",2018-08-22 14:24EST,États-Unis
"
La Presse CanadiennePhiladelphie",2018-08-22 14:28EST,Hockey
"
Agence France-PresseNEW YORK",2018-08-22 14:32EST,Médias
"
Alain BrunetLa PresseSuivre @ABAlainBrunet",2018-08-22 14:35EST,MUTEK
"
Alain BrunetLa PresseSuivre @ABAlainBrunet",2018-08-22 14:39EST,MUTEK
"
La Presse CanadienneOTTAWA",2018-08-22 14:39EST,Canada
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-08-22 14:43EST,Romans
"
La Presse CanadienneNew York",2018-08-22 14:48EST,Tennis
"
Agence France-PresseROME",2018-08-22 14:56EST,Célébrités
"
Tristan PéloquinLa PresseSuivre @TristanPeloquin",2018-08-22 15:30EST,Faits divers
"
Melissa CoutoLa Presse CanadienneToronto",2018-08-22 15:36EST,Baseball
"
La Presse Canadienne",2018-08-22 15:36EST,Canada
"
Agence France-Presse",2018-08-22 15:44EST,Nouvelles
"
Kathleen LévesqueLa PresseSuivre @katlevesque",2018-08-22 15:43EST,Québec
"
Agence France-PresseHonolulu",2018-08-22 15:55EST,États-Unis
"
Agence France-PresseNEW YORK",2018-08-22 15:58EST,Énergie et ressources
"
Associated PressLONDRES",2018-08-22 16:00EST,Musique
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-08-22 16:05EST,"Biographies, récits, essais"
"
Virginie MONTETAgence France-PresseWASHINGTON",2018-08-22 16:03EST,International
"
Frédéric DaigleLa Presse Canadienne",2018-08-22 16:11EST,Football
"
Agence France-PresseBeyrouth",2018-08-22 16:18EST,Le groupe État islamique
"
Christopher ReynoldsLa Presse Canadienne",2018-08-22 16:45EST,Entreprises
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-08-22 17:21EST,Médias et télécoms
"
Associated PressNew York",2018-08-22 17:24EST,Télévision
"
Agence France-PresseCaracas",2018-08-22 17:36EST,Amérique latine
"
Agence France-PresseSéoul",2018-08-22 17:55EST,Asie & Océanie
"
Kathleen LévesqueLa PresseSuivre @katlevesque",2018-08-22 18:05EST,Grand Montréal
"
Agence France-PresseWashington",2018-08-22 18:07EST,Découvertes
"
Victoria AhearnLa Presse CanadienneToronto",2018-08-22 18:23EST,Cinéma
"
Agence France-PresseDubaï",2018-08-22 18:31EST,Moyen-Orient
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-08-22 18:33EST,Faits divers
"
Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-08-22 18:30EST,Affaires criminelles
"
Catherine TRIOMPHEAgence France-PresseNew York",2018-08-22 18:45EST,États-Unis
"
La Presse CanadienneOttawa",2018-08-22 19:21EST,Politique canadienne
"
Agence France-PresseLos Angeles",2018-08-22 19:59EST,Golf
"
Denis LessardLa PresseSuivre @denis_lessard",2018-08-22 20:07EST,Élections Québec 2018
"
Joan BrydenLa Presse CanadienneNanaimo",2018-08-22 22:01EST,Politique canadienne
"
Agence France-PresseTokyo",2018-08-22 22:50EST,Asie & Océanie
"
Beth LeightonLa Presse CanadienneVancouver",2018-08-23 08:00EST,Actualités
"
Violaine BallivyLa PresseSuivre @vioballivy",2018-08-23 08:00EST,Gaspésie
"
Nadielle KutluCollaboration spécialeLa Presse",2018-08-23 08:00EST,Rentrée scolaire
"
Alexandre VigneaultLa PresseSuivre @AVigneault",2018-08-23 08:00EST,Cuisine
"
Muriel FrançoiseCollaboration spécialeLa PresseSuivre @menues_choses",2018-08-23 08:00EST,Immobilier
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-08-23 00:00EST,Le clin d'oeil de Stéphane Laporte
"
Joël-Denis BellavanceLa Presse",2018-08-23 00:00EST,Politique canadienne
"
Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-08-23 05:00EST,Affaires criminelles
"
Paul JournetÉditorialisteLa PresseSuivre @PaulJournet",2018-08-23 05:00EST,Paul Journet
"
Francis VaillesLa PresseSuivre @fvailles",2018-08-23 05:00EST,Francis Vailles
"
Denis LessardLa PresseSuivre @denis_lessard",2018-08-23 05:00EST,Élections Québec 2018
"
Mathieu PerreaultLa Presse",2018-08-23 05:00EST,Santé
"
Julien GIRAULT, Christophe VOGTAgence France-PressePékin, Washington",2018-08-23 00:15EST,International
"
La Presse CanadienneMontréal",2018-08-23 06:12EST,Faits divers
"
Denis LessardLa PresseSuivre @denis_lessard",2018-08-23 06:21EST,Élections Québec 2018
"
Denis LessardLa PresseSuivre @denis_lessard",2018-08-23 06:21EST,Élections Québec 2018
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-08-23 06:24EST,Grand Montréal
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-08-23 06:34EST,Grand Montréal
"
Agence France-PresseParis",2018-08-23 06:27EST,Europe
"
Mathieu PerreaultLa Presse",2018-08-23 06:40EST,Changements climatiques
"
David PaddonLa Presse CanadienneToronto",2018-08-23 06:53EST,Services financiers
"
Agence France-PresseJOHANNESBURG",2018-08-23 07:07EST,Afrique
"
Leo MOURENAgence France-PresseWashington",2018-08-23 07:22EST,Marchés
"
Jean-Sébastien GagnonLa Presse",2018-08-23 07:47EST,Services financiers
"
La Presse CanadienneHalifax",2018-08-23 07:55EST,Justice et faits divers
"
La Presse CanadienneFredericton",2018-08-23 08:27EST,Politique canadienne
"
Tommy ChouinardLa PresseSuivre @ChouinardT",2018-08-23 09:11EST,Élections Québec 2018
"
Agence France-PresseParis",2018-08-23 09:12EST,Le groupe État islamique
"
Mario CloutierLa Presse",2018-08-23 09:18EST,Théâtre
"
La Presse",2018-08-23 09:27EST,Musique
"
Mario CloutierLa Presse",2018-08-23 09:29EST,Théâtre
"
Marc-André LussierLa PresseSuivre @malussier",2018-08-23 09:35EST,Festival des films du monde
"
Michel MaroisLa PresseSuivre @michelmarois",2018-08-23 09:35EST,Golf
"
Agence France-PresseHAWAIIAN OCEAN VIEW",2018-08-23 09:41EST,États-Unis
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-08-23 09:44EST,Sports de combat
"
Sophie AllardLa Presse",2018-08-23 09:48EST,Sports
"
La Presse CanadienneToronto",2018-08-23 09:55EST,Hockey
"
Sheryl UbelackerLa Presse CanadienneToronto",2018-08-23 10:02EST,Médecine
"
La Presse Canadienne",2018-08-23 10:04EST,Cyclisme
"
Alexis Bélanger-ChampagneLa Presse Canadienne",2018-08-23 10:08EST,Soccer
"
Agence France-PresseNew York",2018-08-23 10:15EST,Marchés
"
Frédéric DaigleLa Presse Canadienne",2018-08-23 10:20EST,Football
"
La Presse",2018-08-23 10:23EST,Cinéma
"
Lia LévesqueLa Presse Canadienne",2018-08-23 10:35EST,Actualités
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-08-23 10:50EST,Mathias Brunet
"
La Presse",2018-08-23 10:54EST,Appel à tous
"
Mylène CrêteLa Presse CanadienneOttawa",2018-08-23 10:59EST,Politique canadienne
"
Agence France-PresseSITTWE",2018-08-23 11:08EST,Asie & Océanie
"
Sonia WOLF, Jean-Baptiste OUBRIERAgence France-PresseLONDRES",2018-08-23 11:10EST,Nouvelles
"
Associated PressHoffman Estates, Ill.",2018-08-23 11:14EST,Commerce de détail
"
Alain BrunetLa PresseSuivre @ABAlainBrunet",2018-08-23 11:20EST,MUTEK
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-08-23 11:23EST,Livres
"
Francesco FONTEMAGGIAgence France-PresseWashington",2018-08-23 11:22EST,Asie & Océanie
"
Agence France-PresseBuenos Aires",2018-08-23 11:40EST,Amérique latine
"
Paul HANDLEYAgence France-PresseWashington",2018-08-23 11:49EST,États-Unis
"
Agence France-PresseDEAUVILLE",2018-08-23 11:49EST,Autres festivals de cinéma
"
La Presse CanadiennePRINCE GEORGE, Colombie-Britannique",2018-08-23 11:58EST,National
"
Agence France-PresseGenève",2018-08-23 12:02EST,États-Unis
"
Hugo Pilon-LaroseLa PresseSuivre @hugopilonlarose",2018-08-23 12:38EST,Élections Québec 2018
"
La Presse CanadienneMontréal",2018-08-23 13:01EST,Entreprises
"
La Presse Canadienne",2018-08-23 13:13EST,National
"
Agence France-PresseBerlin",2018-08-23 13:12EST,Entreprises
"
Tommy ChouinardLa PresseSuivre @ChouinardT",2018-08-23 13:36EST,Élections Québec 2018
"
Leo MOURENAgence France-PresseWashington",2018-08-23 13:43EST,États-Unis
"
Juliette MICHELAgence France-PresseNEW YORK",2018-08-23 13:44EST,États-Unis
"
Martin CroteauLa PresseSuivre @martincroteau",2018-08-23 13:42EST,Élections Québec 2018
